feature,importance
dist_prev_low,594
atr_14_norm,577
vol_ratio,531
vol_50,530
adx_14,520
dist_prev_high,495
ema_slope_20,462
candle_range,445
ema_slope_100,409
bb_width,403
minus_di_14,392
vol_10,357
roc_50,351
vol_20,346
plus_di_14,344
ema_slope_50,329
vol_5,328
dist_low_50,327
dist_high_50,305
hour,302
rsi_14,298
lower_wick,291
upper_wick,282
dist_ema_200,280
bb_position,275
roc_5,267
roc_20,260
hour_cos,259
dist_ema_100,258
dist_ema_50,255
roc_10,247
dist_high_5,246
dist_low_5,245
roc_3,237
body_size,224
dist_low_20,220
dist_high_20,220
hour_sin,220
dist_high_10,216
dist_ema_5,200
dist_low_10,196
roc_1,185
candle_return,184
body_to_range,183
roc_15,178
dist_ema_10,158
wick_to_range,152
dist_ema_20,142
day_sin,99
day_of_week,75
day_cos,33
breakout_high_5,13
is_london_session,12
is_ny_session,10
breakout_low_20,9
is_asia_session,8
vol_regime,5
breakout_low_10,4
breakout_low_5,2
breakout_low_50,2
breakout_high_50,1
breakout_high_10,1
breakout_high_20,1
