feature,importance
atr_14_norm,0.26628777
vol_50,0.05608088
candle_range,0.022315921
is_asia_session,0.015736612
dist_ema_10,0.014469566
hour_cos,0.014211709
is_london_session,0.013490593
vol_20,0.0128207505
breakout_high_5,0.012748705
hour,0.012638304
vol_10,0.012404355
dist_ema_20,0.012362461
dist_ema_5,0.012333015
hour_sin,0.012171591
ema_slope_20,0.011883412
ema_slope_50,0.011842487
dist_prev_low,0.011685209
ema_slope_100,0.011674545
dist_low_50,0.0115235215
dist_prev_high,0.011405712
roc_5,0.0113027645
dist_high_20,0.011291065
dist_ema_50,0.011288379
dist_low_20,0.011258957
vol_ratio,0.011242273
bb_width,0.011186898
adx_14,0.011171541
bb_position,0.011114339
dist_high_50,0.011100339
roc_20,0.010940738
roc_1,0.010880038
roc_50,0.010852914
dist_ema_200,0.010826493
roc_10,0.010745489
vol_5,0.01052157
minus_di_14,0.010465547
roc_3,0.010465079
dist_low_10,0.010415786
wick_to_range,0.010361782
upper_wick,0.010357619
body_size,0.010351975
dist_low_5,0.010343945
day_of_week,0.010323934
breakout_low_50,0.010276702
day_sin,0.010107987
dist_high_5,0.010095654
dist_ema_100,0.010073307
breakout_high_20,0.01001129
is_ny_session,0.010009194
plus_di_14,0.009985958
dist_high_10,0.009938597
day_cos,0.009895551
roc_15,0.009873625
breakout_low_20,0.009746539
rsi_14,0.009732273
breakout_low_10,0.00960885
candle_return,0.00952556
body_to_range,0.009190571
lower_wick,0.009040991
breakout_high_50,0.008923811
vol_regime,0.008664411
breakout_high_10,0.00862374
breakout_low_5,0.007778896
